,account.length,voice.plan,voice.messages,intl.plan,intl.mins,intl.calls,intl.charge,day.mins,day.calls,day.charge,eve.mins,eve.calls,eve.charge,night.mins,night.calls,night.charge,customer.calls,churn
1,128,yes,25,no,10.0,3,2.7,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,1,0
2,107,yes,26,no,13.7,3,3.7,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,1,0
3,137,no,0,no,12.2,5,3.29,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,0,0
5,75,no,0,yes,10.1,3,2.73,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,3,0
6,118,no,0,yes,6.3,6,1.7,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,0,0
8,147,no,0,yes,7.1,6,1.92,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,0,0
10,141,yes,37,yes,11.2,5,3.02,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,0,0
11,65,no,0,no,12.7,6,3.43,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,4,1
12,74,no,0,no,9.1,5,2.46,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,0,0
13,168,no,0,no,11.2,2,3.02,128.8,96,30.65350090126179,104.9,71,8.92,141.1,128,6.35,1,0
14,95,no,0,no,12.3,5,3.32,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,3,0
15,62,no,0,no,13.1,6,3.54,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,4,0
16,161,no,0,no,5.4,9,1.46,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,4,1
17,85,yes,27,no,13.8,4,3.73,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,1,0
18,93,no,0,no,8.1,3,2.19,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,3,0
19,76,yes,33,no,10.0,5,2.7,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,1,0
20,73,no,0,no,13.0,2,3.51,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,1,0
21,147,no,0,no,10.6,4,2.86,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,0,0
22,77,no,0,no,5.7,6,1.54,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5,1
24,111,no,0,no,7.7,6,2.08,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,2,0
